School,Number,Homeroom,Boomilever,Detector Building,Gravity Vehicle,Ping-Pong Parachute,Sounds of Music,Wright Stuff,Picture This,Data Science
The Bishop Strachan School A,43,Sever 306,3:00 PM,3:00 PM,11:15 AM,8:45 AM,8:45 AM,12:00 PM,1:00 AM,1:00 AM
The Bishop Strachan School B,44,Sever 306,3:00 PM,8:45 AM,8:45 AM,10:00 AM,1:45 PM,1:00 AM,1:00 AM,1:00 AM
Uxbridge High School A,45,EM 104,8:45 AM,12:30 PM,10:00 AM,8:45 AM,10:00 AM,1:45 PM,3:00 PM,1:00 AM
Uxbridge High School B,46,EM 104,10:00 AM,3:00 PM,8:45 AM,1:45 PM,10:00 AM,3:00 PM,1:00 AM,1:00 AM
Walton High School  A,47,Sever 304,3:00 PM,8:45 AM,11:15 AM,1:45 PM,11:15 AM,1:45 PM,12:30 PM,3:00 PM
Waterville Senior HS  A,48,EM 108,1:45 PM,3:00 PM,12:30 PM,8:45 AM,10:00 AM,11:15 AM,1:00 AM,1:00 AM
Waterville Senior HS  B,49,EM 108,1:45 PM,3:00 PM,12:30 PM,8:45 AM,10:00 AM,11:15 AM,1:00 AM,1:00 AM
Waynflete School  A,50,Sever 113,8:45 AM,11:15 AM,3:00 PM,12:30 PM,11:15 AM,10:00 AM,1:00 AM,1:00 AM
Wellesley High School  A,51,Sever 113,1:45 PM,8:45 AM,11:15 AM,3:00 PM,12:30 PM,10:00 AM,10:00 AM,8:45 AM
Westborough High School  A,52,EM 105,8:45 AM,10:00 AM,10:00 AM,10:00 AM,1:00 AM,1:00 AM,1:00 AM,1:00 AM
Westborough High School  B,53,EM 105,8:45 AM,10:00 AM,10:00 AM,1:00 AM,11:15 AM,1:00 AM,1:00 AM,1:00 AM
Westford Academy  A,54,EM 105,3:00 PM,8:45 AM,8:45 AM,10:00 AM,8:45 AM,1:45 PM,12:30 PM,3:00 PM
Weston HS  A,55,EM 106,1:40 PM,10:00 AM,11:15 AM,12:30 PM,3:00 PM,12:30 PM,8:45 AM,8:45 AM
Wilbraham & Monson Academy  A,56,EM 105,12:30 PM,10:00 AM,8:45 AM,10:00 AM,1:45 PM,11:15 AM,1:00 AM,1:00 AM
Winchester HS  A,57,Sever 113,8:45 AM,3:00 PM,12:30 PM,3:00 PM,10:00 AM,3:00 PM,1:00 AM,1:00 AM
Winthrop High School  A,58,Sever 113,1:00 AM,1:00 AM,11:15 AM,1:45 PM,12:30 PM,1:00 AM,10:00 AM,1:00 AM
Saint Johnsbury Academy  A,59,EM 101,12:30 PM,12:30 PM,1:45 PM,11:15 AM,3:00 PM,10:00 AM,10:00 AM,8:45 AM
Saint Johnsbury Academy  B,60,EM 101,12:30 PM,1:00 AM,11:15 AM,8:45 AM,3:00 PM,1:00 AM,8:45 AM,11:15 AM
